manufacturers,models,titels,dates,types,refrigerants,mass_of_refrigerants,spl_indoor,spl_outdoor,eta,p_rated,scop,t_biv,tol,p_th_minus7,cop_minus7,p_th_2,cop_2,p_th_7,cop_7,p_th_12,cop_12,p_th_tbiv,cop_tbiv,p_th_tol,cop_tol,rated_airflows,wtols,poffs,ptos,psbs,pcks,supply_energy,supp_energy_types,p_sups,p_design_cools,seers,pdcs_35,eer_35,pdcs_30,eer_30,pdcs_25,eer_25,pdcs_20,eer_20,temperatures
 Bosch Thermotechnik GmbH (Buderus),Buderus Logatherm WPS 8K-1,Buderus Logatherm WPS 8K-1,17.11.2017,Brine/Water,R410A,"1,950 kg",48,,184,7,4.81,-10,-10,7.46,4.54,7.53,4.81,7.59,5.07,7.65,5.36,7.45,4.49,7.45,4.49,,62,6,6,6,0,,1,0,,,,,,,,,,,low
 Bosch Thermotechnik GmbH (Buderus),Buderus Logatherm WPS 8K-1,Buderus Logatherm WPS 8K-1,17.11.2017,Brine/Water,R410A,"1,950 kg",48,,137,8,3.64,-6,-10,6.91,3.09,7.14,3.62,7.27,4.02,7.38,4.47,6.94,3.15,6.79,2.89,,62,6,6,6,0,,1,1.21,,,,,,,,,,,high
 Vaillant Deutschland GmbH & Co KG,VWL 75/5 AS 230V,VWL 75/5 AS 230V + VWL 77/5 IS,10.03.2021,Outdoor Air/Water,R410A,"2,390 kg",43,54,173,7.08,4.40,-7,-10,6.30,2.58,3.90,4.37,2.72,5.86,3.28,7.54,6.26,2.57,5.66,2.38,,55,11,11,11,0,,1,1.42,,,,,,,,,,,low
 Vaillant Deutschland GmbH & Co KG,VWL 75/5 AS 230V,VWL 75/5 AS 230V + VWL 77/5 IS,10.03.2021,Outdoor Air/Water,R410A,"2,390 kg",43,54,133,6.36,3.39,-7,-10,5.62,2.00,3.31,3.29,2.69,4.62,3.21,6.27,5.62,2.00,4.92,1.84,,55,11,11,11,0,,1,1.44,,,,,,,,,,,high
 Vaillant Deutschland GmbH & Co KG,VWL 75/5 AS 230V,VWL 75/5 AS 230V + VWL 78/5 IS,10.03.2021,Outdoor Air/Water,R410A,"2,390 kg",41,54,173,7.08,4.40,-7,-10,6.30,2.58,3.90,4.37,2.72,5.86,3.28,7.54,6.26,2.57,5.66,2.38,,55,11,11,11,0,,1,1.42,,,,,,,,,,,low
 Vaillant Deutschland GmbH & Co KG,VWL 75/5 AS 230V,VWL 75/5 AS 230V + VWL 78/5 IS,10.03.2021,Outdoor Air/Water,R410A,"2,390 kg",44,54,133,6.36,3.39,-7,-10,5.62,2.00,3.31,3.29,2.69,4.62,3.21,6.27,5.62,2.00,4.92,1.84,,55,11,11,11,0,,1,1.44,,,,,,,,,,,high
 Vaillant Deutschland GmbH & Co KG,VWL 75/5 AS 230V,VWL 75/5 AS 230V S2 + VWL 77/5 IS,10.03.2021,Outdoor Air/Water,R410A,"2,390 kg",43,54,171,7.08,4.35,-7,-10,6.30,2.58,3.90,4.37,2.72,5.86,3.28,7.54,6.26,2.57,5.66,2.38,,55,11,11,11,0,,1,1.42,,,,,,,,,,,low
 Vaillant Deutschland GmbH & Co KG,VWL 75/5 AS 230V,VWL 75/5 AS 230V S2 + VWL 77/5 IS,10.03.2021,Outdoor Air/Water,R410A,"2,390 kg",43,54,131,6.36,3.36,-7,-10,5.62,2.00,3.31,3.29,2.69,4.62,3.21,6.27,5.62,2.00,4.92,1.84,,55,11,11,11,0,,1,1.44,,,,,,,,,,,high
 Vaillant Deutschland GmbH & Co KG,VWL 75/5 AS 230V,VWL 75/5 AS 230V S2 + VWL 78/5 IS,10.03.2021,Outdoor Air/Water,R410A,"2,390 kg",41,54,171,7.08,4.35,-7,-10,6.30,2.58,3.90,4.37,2.72,5.86,3.28,7.54,6.26,2.57,5.66,2.38,,55,11,11,11,0,,1,1.42,,,,,,,,,,,low
 Vaillant Deutschland GmbH & Co KG,VWL 75/5 AS 230V,VWL 75/5 AS 230V S2 + VWL 78/5 IS,10.03.2021,Outdoor Air/Water,R410A,"2,390 kg",44,54,131,6.36,3.36,-7,-10,5.62,2.00,3.31,3.29,2.69,4.62,3.21,6.27,5.62,2.00,4.92,1.84,,55,11,11,11,0,,1,1.44,,,,,,,,,,,high
