T_in,T_out,T_amb,COP,EER,P_el,P_th,m_dot,P_th_real,P_el_real,COP_real,RE_P_th,RE_P_el,RE_COP,titel,Group,Pdc_real,Pel_c_real,EER_real,RE_Pdc,RE_Pel_c,RE_EER
-7,34,-7,2.916989027208956,0.0,4472.526864260722,13046.311786945806,0.6212529422355145,12470.0,4391.0,2.84,4.62158610221175,1.8566810353159102,2.7108812397519833,WELLEA MONOBLOC 14 KW 3PH,1.0,,,,,,
-7,52,-7,2.0370121892793804,0.0,5859.455475440434,11935.782226011972,0.5683705821910463,12180.0,5941.0,2.05,-2.0050720360265006,-1.3725723709740012,-0.6335517424692405,WELLEA MONOBLOC 14 KW 3PH,1.0,,,,,,
2,30,2,4.178691299689234,0.0,1662.6903889971918,6947.869862579473,0.33085094583711777,7480.0,1785.0,4.19,-7.114039270327899,-6.852079047776371,-0.26989738211853354,WELLEA MONOBLOC 14 KW 3PH,1.0,,,,,,
2,42,2,3.5920400744028598,0.0,2587.309463117,9293.719276398013,0.44255806078085774,7840.0,2465.0,3.18,18.542337709158318,4.961844345517252,12.957235044115079,WELLEA MONOBLOC 14 KW 3PH,1.0,,,,,,
7,27,7,4.917660697150609,0.0,983.291434422652,4835.493640905121,0.23026160194786288,2230.0,421.0,5.3,116.83827986121615,133.56091078922847,-7.213949110365869,WELLEA MONOBLOC 14 KW 3PH,1.0,,,,,,
7,36,7,4.477672278185878,0.0,1156.6575108202849,5179.133271555472,0.2466253938835939,2570.0,500.0,5.14,101.52269539126348,131.33150216405696,-12.88575334268719,WELLEA MONOBLOC 14 KW 3PH,1.0,,,,,,
12,24,12,5.656630094612183,0.0,925.5027422903329,5235.226664685601,0.24929650784217144,2230.0,421.0,5.3,134.76352756437672,119.83438059152802,6.728869709663821,WELLEA MONOBLOC 14 KW 3PH,1.0,,,,,,
12,30,12,5.363304481968953,0.0,1041.0801265553089,5583.629708842893,0.2658871289925187,2570.0,500.0,5.14,117.26185637520983,108.21602531106178,4.344445174493261,WELLEA MONOBLOC 14 KW 3PH,1.0,,,,,,
-7,34,-7,2.854985478644535,0.0,1875.7701195587138,5355.296452615451,0.25501411679121194,4910.0,1832.0,2.68,9.069174187687402,2.3891986658686637,6.5293089046468245,Jabbah 5-1,1.0,,,,,,
-7,52,-7,1.3202639440360127,0.0,2353.2319500550034,3106.887295611176,0.14794701407672267,4650.0,2397.0,1.94,-33.185219449222025,-1.8259511866915545,-31.94515752391687,Jabbah 5-1,1.0,,,,,,
2,30,2,4.7845243190920765,0.0,588.3457573596426,2814.954584121856,0.13404545638675505,2860.0,654.0,4.37,-1.575014541193842,-10.03887502146138,9.485682359086422,Jabbah 5-1,1.0,,,,,,
2,42,2,3.761376629353062,0.0,906.6536443571918,3410.265828802924,0.16239361089537732,2810.0,841.0,3.34,21.361773267007965,7.80661645150913,12.616066747097676,Jabbah 5-1,1.0,,,,,,
7,27,7,5.922805469601573,0.0,422.5226297025373,2502.519342232628,0.11916758772536323,1850.0,290.0,6.38,35.27131579635827,45.697458518116306,-7.1660584701947805,Jabbah 5-1,1.0,,,,,,
7,36,7,5.155444702297312,0.0,482.2053585145905,2485.9830609734217,0.11838014576063913,1910.0,408.0,4.68,30.15618120279695,18.187587871223165,10.159074835412651,Jabbah 5-1,1.0,,,,,,
12,24,12,7.061086620111071,0.0,402.6283867651862,2842.9939146645615,0.13538066260307435,1760.0,229.0,7.67,61.533745151395536,75.82025622933895,-7.938896739099455,Jabbah 5-1,1.0,,,,,,
12,30,12,6.549512775241562,0.0,442.41687263988837,2897.614959337368,0.13798166473035087,1730.0,272.0,6.35,67.49219418135075,62.65326199995896,3.141933468371061,Jabbah 5-1,1.0,,,,,,
-7,34,-7,2.739613209000936,0.0,2743.690334719402,7516.650282405473,0.35793572773359394,7180.0,2709.0,2.65,4.688722596176498,1.2805586828867455,3.3816305283372206,Jabbah 7-1,1.0,,,,,,
-7,52,-7,1.4065540814456199,0.0,3192.304071625894,4490.148321160871,0.21381658672194626,6550.0,3227.0,2.03,-31.44811723418517,-1.0751759644904268,-30.711621603664042,Jabbah 7-1,1.0,,,,,,
2,30,2,4.355341810560361,0.0,985.9623813297476,4294.203183045108,0.20448586585929085,4140.0,1038.0,3.99,3.7247145663069636,-5.013258060717963,9.156436354896268,Jabbah 7-1,1.0,,,,,,
2,42,2,3.4666357255234743,0.0,1285.0382059340145,4454.759353353446,0.21213139777873555,3700.0,1233.0,3.0,20.39890144198504,4.220454658070927,15.554524184115802,Jabbah 7-1,1.0,,,,,,
7,27,7,5.310570131753252,0.0,642.3073592583758,3411.018277482836,0.16242944178489693,2630.0,493.0,5.34,29.696512451818858,30.285468409406846,-0.5511211282162476,Jabbah 7-1,1.0,,,,,,
7,36,7,4.644040567975594,0.0,698.3840763716873,3243.3239826982817,0.15444399917610865,2490.0,586.0,4.25,30.253975208766338,19.17817002929818,9.271542775896325,Jabbah 7-1,1.0,,,,,,
12,24,12,6.265798452946001,0.0,623.6151202205747,3907.446655511811,0.1860688883577053,2240.0,313.0,7.15,74.4395828353487,99.23805757845837,-12.36645520355244,Jabbah 7-1,1.0,,,,,,
12,30,12,5.8214454104276,0.0,660.9995982960852,3847.9730777952327,0.18323681322834443,2160.0,386.0,5.6,78.14690174977929,71.24341924769047,3.9543823290642877,Jabbah 7-1,1.0,,,,,,
-7,34,-7,2.8931364365935224,0.0,3624.303761734609,10485.605270357366,0.4993145366836841,10300.0,3540.0,2.91,1.8019929160909332,2.3814621958929028,-0.5795038971298183,alpha innotec L12 Split-HM 12,1.0,,,,,,
-7,52,-7,1.5594660560839202,0.0,4387.688376944156,6842.451088518359,0.32583100421516,8900.0,4472.0,1.99,-23.118527095299335,-1.8853225191378442,-21.634871553571845,alpha innotec L12 Split-HM 12,1.0,,,,,,
2,30,2,4.568134842700999,0.0,1325.539584675672,6055.243562136348,0.28834493153030233,6300.0,1452.0,4.34,-3.8850228232325645,-8.709394994788433,5.256563195875574,alpha innotec L12 Split-HM 12,1.0,,,,,,
2,42,2,3.679021255694579,0.0,1834.4626614820363,6749.02712437046,0.321382244017641,5500.0,1708.0,3.22,22.709584079462907,7.404137089112206,14.255318499831638,alpha innotec L12 Split-HM 12,1.0,,,,,,
7,27,7,5.556317245251648,0.0,831.8579917328088,4622.066905065409,0.22009842405073374,4100.0,744.0,5.51,12.733339147936796,11.808869856560333,0.8406033620988795,alpha innotec L12 Split-HM 12,1.0,,,,,,
7,36,7,4.88948205499696,0.0,927.2810686342564,4533.924145025601,0.21590114976312388,3500.0,759.0,4.61,29.540689857874327,22.17141879239215,6.062517461973105,alpha innotec L12 Split-HM 12,1.0,,,,,,
12,24,12,6.544499647802695,0.0,800.0502994321569,5235.928902858192,0.249329947755152,4800.0,690.0,6.96,9.081852142878999,15.949318758283603,-5.969832646512996,alpha innotec L12 Split-HM 12,1.0,,,,,,
12,30,12,6.09994285429957,0.0,863.6656840329524,5268.3113178205585,0.2508719675152647,5000.0,800.0,6.25,5.3662263564111745,7.958210504119045,-2.4009143312068826,alpha innotec L12 Split-HM 12,1.0,,,,,,
-7,34,-7,3.018833662496718,0.0,1709.8477994647965,5161.746094770265,0.24579743308429833,4300.0,1654.0,2.6,20.040606855122434,3.3765295927930206,16.108987019104525,alpha innotec L6 Split-HM 6,1.0,,,,,,
-7,52,-7,1.180445449004992,0.0,2444.1575002413174,2885.194597811281,0.13739021894339432,4700.0,2500.0,1.88,-38.612880897632316,-2.2336999903473043,-37.210348457181276,alpha innotec L6 Split-HM 6,1.0,,,,,,
2,30,2,4.986909940443638,0.0,453.2297742670721,2260.2160665974884,0.1076293365046423,2600.0,537.0,4.84,-13.06861282317352,-15.599669596448395,3.0353293480090526,alpha innotec L6 Split-HM 6,1.0,,,,,,
2,42,2,3.761317798115897,0.0,942.7695747848475,3546.055981160403,0.16885980862668587,2800.0,859.0,3.26,26.6448564700144,9.751987751437419,15.377846567972298,alpha innotec L6 Split-HM 6,1.0,,,,,,
7,27,7,6.159722178157608,0.0,356.07072895743386,2193.296766151852,0.10444270315008819,1700.0,246.0,6.91,29.017456832461885,44.74419876318449,-10.857855598298006,alpha innotec L6 Split-HM 6,1.0,,,,,,
7,36,7,5.240528071411745,0.0,447.85944155449897,2347.01997551314,0.11176285597681618,1800.0,381.0,4.72,30.389998639618888,17.548409856823888,11.028137106181045,alpha innotec L6 Split-HM 6,1.0,,,,,,
12,24,12,7.332534415871578,0.0,325.4744914249841,2386.5529098619945,0.11364537666009497,2700.0,350.0,7.72,-11.609151486592795,-7.00728816429026,-5.018984250368163,alpha innotec L6 Split-HM 6,1.0,,,,,,
12,30,12,6.719738344707821,0.0,386.66696648988363,2598.300841353925,0.12372861149304405,2700.0,417.0,6.47,-3.7666355054101874,-7.274108755423592,3.859943503984864,alpha innotec L6 Split-HM 6,1.0,,,,,,
-7,34,-7,2.9484976919136443,0.0,2595.929268570189,7654.091456750277,0.364480545559537,7400.0,2534.0,2.92,3.4336683344631913,2.443933250599395,0.9759483532070012,alpha innotec L8 Split-HM 12,1.0,,,,,,
-7,52,-7,1.561413678242161,0.0,3185.0831139944385,4973.232340529053,0.2368205876442406,6300.0,3247.0,1.94,-21.059804118586467,-1.90689516493876,-19.51475885349685,alpha innotec L8 Split-HM 12,1.0,,,,,,
2,30,2,4.454938387689708,0.0,954.1141403883297,4250.519710253538,0.2024057004882637,4500.0,1047.0,4.3,-5.544006438810278,-8.871619829194866,3.60321831836532,alpha innotec L8 Split-HM 12,1.0,,,,,,
2,42,2,3.5302157119086246,0.0,1346.8833706705475,4754.7888372496145,0.22641851605950544,3900.0,1254.0,3.11,21.91766249357987,7.406967358097893,13.5117592253577,alpha innotec L8 Split-HM 12,1.0,,,,,,
7,27,7,5.351785614328946,0.0,591.7034710600237,3166.670124367539,0.1507938154460733,2900.0,536.0,5.41,9.19552152991514,10.392438630601442,-1.0760514911470231,alpha innotec L8 Split-HM 12,1.0,,,,,,
7,36,7,4.658243607493205,0.0,665.3477017378704,3099.35167838073,0.14758817516098713,2600.0,588.0,4.42,19.205833783874237,13.154371043855505,5.3901268663621105,alpha innotec L8 Split-HM 12,1.0,,,,,,
12,24,12,6.248632840968185,0.0,567.155394167039,3543.9458219244157,0.1687593248535436,3500.0,538.0,6.51,1.2555949121261678,5.419218246661539,-4.014856513545551,alpha innotec L8 Split-HM 12,1.0,,,,,,
12,30,12,5.786271503077842,0.0,616.2515479526393,3565.798770645965,0.16979994145933167,3700.0,624.0,5.93,-3.6270602528117646,-1.241739110153961,-2.4237520560228987,alpha innotec L8 Split-HM 12,1.0,,,,,,
-7,34,-7,2.908341870068625,0.0,2593.495408270274,7542.771285703161,0.35917958503348385,7530.0,2535.0,2.97,0.16960538782417878,2.3075111743697807,-2.076031310820703,LW 101,4.0,,,,,,
-7,52,-7,1.9250672875309647,0.0,3386.920703267619,6520.050251321863,0.31047858339627915,6980.0,3438.0,2.03,-6.589537946678192,-1.4857270719133453,-5.169099136405675,LW 101,4.0,,,,,,
2,30,2,3.950469927730637,0.0,2442.014314956461,9647.104114323232,0.4593859102058682,9540.0,2524.0,3.78,1.1226846365118615,-3.2482442568755543,4.509786447900455,LW 101,4.0,,,,,,
2,42,2,3.294953539372159,0.0,2970.9645116213906,9789.190032915978,0.4661519063293323,9410.0,3026.0,3.11,4.029649659043333,-1.8187537468145831,5.947059143799338,LW 101,4.0,,,,,,
7,27,7,4.571917133084526,0.0,2323.574342961271,10623.189348580256,0.5058661594562026,10430.0,2224.0,4.69,1.8522468703763728,4.477263622359318,-2.5177583564067074,LW 101,4.0,,,,,,
7,36,7,4.080279841815582,0.0,2720.286990459944,11099.532171126884,0.5285491510060422,10400.0,2574.0,4.04,6.726270876220042,5.683255262624076,0.997025787514394,LW 101,4.0,,,,,,
12,24,12,5.193364338438187,0.0,2205.134370966044,11452.066203639377,0.5453364858875894,12190.0,2367.0,5.15,-6.053599642006757,-6.8384296169816565,0.8420259890909998,LW 101,4.0,,,,,,
12,30,12,4.8656061442593455,0.0,2469.609469298509,12016.147007739886,0.5721974765590422,12170.0,2424.0,5.02,-1.2641987860321557,1.8815787664401284,-3.0755748155508744,LW 101,4.0,,,,,,
-7,34,-7,3.0126926609150364,0.0,3108.948989911237,9366.307805064798,0.446014657384038,9220.0,3023.0,3.05,1.586852549509743,2.8431687036466036,-1.2231914454086334,LW 121,4.0,,,,,,
-7,52,-7,1.9311692036630461,0.0,4117.507442910844,7951.603569602799,0.3786477890287047,8700.0,4183.0,2.08,-8.602257820657478,-1.565683889293723,-7.155326746968937,LW 121,4.0,,,,,,
2,30,2,4.084321596770735,0.0,2920.751385623194,11929.287963098861,0.5680613315761363,11900.0,3020.0,3.94,0.24611733696522364,-3.286377959496889,3.6629846896125695,LW 121,4.0,,,,,,
2,42,2,3.3633059586027514,0.0,3593.1236876230905,12084.774308579432,0.5754654432656873,11520.0,3704.0,3.11,4.902554761974232,-2.9934209604997153,8.144886128705831,LW 121,4.0,,,,,,
7,27,7,4.726403500645915,0.0,2772.61747477738,13104.508938739846,0.6240242351780879,12990.0,2673.0,4.86,0.8815160795984989,3.726804144309015,-2.748899163664298,LW 121,4.0,,,,,,
7,36,7,4.185641772019892,0.0,3276.8967012776584,13715.915715461957,0.6531388435934266,12560.0,3034.0,4.14,9.20315060081176,8.005824036837783,1.1024582613500478,LW 121,4.0,,,,,,
12,24,12,5.368485404520925,0.0,2624.4835639327544,14089.501707378051,0.6709286527322882,15090.0,2836.0,5.32,-6.630207373240216,-7.458266433964933,0.9113797842279059,LW 121,4.0,,,,,,
12,30,12,5.007977585436947,0.0,2960.669714931038,14826.967570256635,0.7060460747741255,15030.0,2902.0,5.18,-1.3508478359505305,2.0216993429027497,-3.3208960340357585,LW 121,4.0,,,,,,
-7,34,-7,3.0598588974399377,0.0,3654.683152872263,11182.814762640037,0.5325149886971446,11000.0,3514.0,3.13,1.6619523876366893,4.003504634953403,-2.2409297942511897,LW 140 (L),4.0,,,,,,
-7,52,-7,1.9834704378413335,0.0,4819.2852069749015,9558.90973956077,0.4551861780743224,10400.0,4815.0,2.16,-8.087406350377213,0.08899702959297429,-8.172664914753081,LW 140 (L),4.0,,,,,,
2,30,2,4.150901238171826,0.0,3308.8189859708455,13734.58082575283,0.6540276583691824,13900.0,3528.0,3.94,-1.1900660017782005,-6.212613776336584,5.352823303853471,LW 140 (L),4.0,,,,,,
2,42,2,3.4333089317727854,0.0,4085.2203553723307,14025.823534359815,0.6678963587790389,13490.0,4352.0,3.1,3.9720054437347274,-6.1300469813343135,10.751901024928557,LW 140 (L),4.0,,,,,,
7,27,7,4.803546484363494,0.0,3066.349915601922,14729.35435691791,0.7013978265199005,14530.0,2941.0,4.94,1.3720189739704791,4.262152859636936,-2.7622169157187515,LW 140 (L),4.0,,,,,,
7,36,7,4.26535225456422,0.0,3648.6509426529674,15562.781524362703,0.7410848344934621,14350.0,3353.0,4.28,8.451439194165179,8.81750500008851,-0.34223704289205736,LW 140 (L),4.0,,,,,,
12,24,12,5.456191730555247,0.0,2823.880845232725,15407.635315832154,0.7336969198015312,16370.0,3015.0,5.43,-5.878831302185983,-6.338943773375627,0.4823523122513329,LW 140 (L),4.0,,,,,,
12,30,12,5.097395577355769,0.0,3212.081529933057,16373.250184786917,0.7796785802279484,16340.0,3101.0,5.27,0.20348950297990331,3.5821196366674357,-3.2752262361334106,LW 140 (L),4.0,,,,,,
-7,34,-7,2.965946606200532,0.0,4814.5363547980605,14279.65776194239,0.6799837029496376,14280.0,4857.0,2.94,-0.0023966250532914124,-0.8742772328997228,0.8825376258684514,LW 180 (L),1.0,,,,,,
-7,52,-7,1.5878671219227272,0.0,6630.460448807942,10528.290149871142,0.5013471499938639,12780.0,6588.0,1.94,-17.619012911806397,0.6445119734053151,-18.15117928233365,LW 180 (L),1.0,,,,,,
2,30,2,4.257054622379201,0.0,4500.687880795978,19159.67414682857,0.9123654355632652,17480.0,4437.0,3.94,9.609119833115386,1.4353815820594695,8.047071633989876,LW 180 (L),1.0,,,,,,
2,42,2,3.338334966194111,0.0,5711.303943469731,19066.24565704732,0.9079164598593962,16920.0,5775.0,2.93,12.684667003825755,-1.1029620178401478,13.93634696908228,LW 180 (L),1.0,,,,,,
7,27,7,5.0338834979718285,0.0,4247.86176154749,21383.24122311945,1.018249582053307,10090.0,1875.0,5.38,111.92508645311645,126.55262728253275,-6.433392231006907,LW 180 (L),1.0,,,,,,
7,36,7,4.344843755832926,0.0,5155.823808553179,22401.248880767016,1.0667261371793817,10080.0,2394.0,4.21,122.23461191237118,115.3644030306257,3.202939568478058,LW 180 (L),1.0,,,,,,
12,24,12,5.810712373564911,0.0,3995.03564229975,23214.003039544,1.105428716168762,12900.0,2164.0,5.96,79.95351193444962,84.61347700091267,-2.50482594689746,LW 180 (L),1.0,,,,,,
12,30,12,5.351352545472764,0.0,4600.343673637376,24618.0608279689,1.1722886108556618,12860.0,2386.0,5.39,91.43126615838959,92.80568623794534,-0.71702141980029,LW 180 (L),1.0,,,,,,
-7,34,-7,2.880020930486012,0.0,6614.773581793266,19050.686365990532,0.9071755412376444,19360.0,6541.0,2.96,-1.5976943905447683,1.127863962593878,-2.7019955916887883,LW 251 (L),1.0,,,,,,
-7,52,-7,1.7399553221122233,0.0,9192.233719524389,15994.075982385899,0.7616226658279,19180.0,9266.0,2.07,-16.610657026142338,-0.796096271051272,-15.944187337573744,LW 251 (L),1.0,,,,,,
2,30,2,4.151209145057919,0.0,6316.3477293720325,26220.480457535003,1.2485943075016668,24230.0,6427.0,3.77,8.214942045130025,-1.7216783978211803,10.111648410024387,LW 251 (L),1.0,,,,,,
2,42,2,3.391165406142022,0.0,8034.654487858043,27246.842349527942,1.2974686833108544,23930.0,7924.0,3.02,13.860603215745693,1.3964473480318373,12.290245236490804,LW 251 (L),1.0,,,,,,
7,27,7,4.906686914009015,0.0,6039.183854790801,29632.38439159654,1.411065923409359,14340.0,2834.0,5.06,106.64145321894378,113.0975248691179,-3.029902885197333,LW 251 (L),1.0,,,,,,
7,36,7,4.336654109822007,0.0,7327.913923654255,31778.628033437133,1.5132680015922444,14290.0,3460.0,4.13,122.38368112972103,111.78941975879351,5.003731472687822,LW 251 (L),1.0,,,,,,
12,24,12,5.66216468296011,0.0,5762.019980213783,32625.506034476995,1.5535955254512854,16850.0,2856.0,5.9,93.62318121351332,101.75139986742936,-4.031107068472705,LW 251 (L),1.0,,,,,,
12,30,12,5.282142813502105,0.0,6621.173359458895,34973.98327761739,1.6654277751246378,16820.0,3092.0,5.44,107.93093506312363,114.13885379879996,-2.9017865165054224,LW 251 (L),1.0,,,,,,
-7,34,-7,2.628468231965826,0.0,7538.778521301213,19815.43985106654,0.9435923738603115,19410.0,7325.0,2.65,2.0888194284726547,2.91847810650121,-0.8125195484594006,LW 300(L),1.0,,,,,,
-7,52,-7,1.7524714871151448,0.0,10017.241225011916,17554.929626387766,0.8359490298279888,20360.0,10231.0,1.99,-13.777359398881305,-2.08932435722885,-11.936106175118354,LW 300(L),1.0,,,,,,
2,30,2,3.6640186528379104,0.0,4239.354165026774,15533.072736644186,0.7396701303163898,16370.0,4560.0,3.59,-5.112567277677549,-7.031706907307578,2.0618009147050254,LW 300(L),1.0,,,,,,
2,42,2,3.0800208229374566,0.0,5891.662634167146,18146.443594957356,0.864116361664636,16379.0,5571.0,2.94,10.790912723349134,5.755925940892959,4.762613025083562,LW 300(L),1.0,,,,,,
7,27,7,4.277176153408618,0.0,2299.246566319052,9834.282584266495,0.4682991706793569,17990.0,4442.0,4.05,-45.33472715805173,-48.23848342370437,5.609287738484392,LW 300(L),1.0,,,,,,
7,36,7,3.8391777809833907,0.0,3538.477918174403,13584.845801955533,0.6468974191407396,18360.0,5231.0,3.51,-26.008465130961145,-32.35561234612114,9.378284358501165,LW 300(L),1.0,,,,,,
12,24,12,4.890333653979269,0.0,1540.4636992543562,7533.381471196978,0.3587324510093799,23010.0,4358.0,5.28,-67.26040212430692,-64.65204912220385,-7.38004443221082,LW 300(L),1.0,,,,,,
12,30,12,4.5983347390288145,0.0,1747.0022578970118,8033.301171649605,0.3825381510309336,23480.0,4975.0,4.72,-65.7866219265349,-64.88437672568821,-2.577653834135285,LW 300(L),1.0,,,,,,
-7,34,-7,2.885950514218621,0.0,8674.544000566319,25034.30471904642,1.19210974852602,25020.0,8568.0,2.92,0.05717313767554799,1.2435107442380744,-1.166078280184213,LW 310 (L),1.0,,,,,,
-7,52,-7,1.8515670252900236,0.0,11597.466795830958,21473.48709605655,1.0225470045741214,23760.0,11704.0,2.03,-9.623370807842802,-0.9102290171654315,-8.78980170985104,LW 310 (L),1.0,,,,,,
2,30,2,3.9531127400372834,0.0,8320.193820961744,32890.664193223354,1.5662221044392073,31120.0,8480.0,3.67,5.689794965370676,-1.8845068282813182,7.714243597746151,LW 310 (L),1.0,,,,,,
2,42,2,3.263523747418276,0.0,10268.809017804837,33512.502087309025,1.5958334327290011,30530.0,10109.0,3.02,9.769086430753449,1.5808588169436755,8.063700245638273,LW 310 (L),1.0,,,,,,
7,27,7,4.590676226124742,0.0,7997.033476941447,36711.79146211879,1.7481805458151805,19400.0,3992.0,4.86,89.23603846452983,100.32648990334287,-5.541641437762513,LW 310 (L),1.0,,,,,,
7,36,7,4.073484481660444,0.0,9458.494874573767,38529.032091441084,1.8347158138781468,19050.0,4704.0,4.05,102.2521369629453,101.07344546287771,0.5798637447023136,LW 310 (L),1.0,,,,,,
12,24,12,5.228239712212144,0.0,7673.873132920484,40120.848260012695,1.9105165838101283,21200.0,4030.0,5.26,89.2492842453429,90.41868816179861,-0.603807752620833,LW 310 (L),1.0,,,,,,
12,30,12,4.883445215902611,0.0,8648.18073134203,42232.916818733385,2.011091277082542,21110.0,4291.0,4.92,100.06118815127137,101.54231487629994,-0.7429834166135851,LW 310 (L),1.0,,,,,,
-7,34,-7,2.860793694011363,0.0,2949.730147883499,8438.56940610032,0.4018366383857295,8430.0,2948.0,2.86,0.10165369039525363,0.05868886986089006,0.027751538858855618,LWC 100,4.0,,,,,,
-7,52,-7,1.8473778311658293,0.0,3851.837339241205,7115.798909770976,0.33884756713195124,7830.0,3896.0,2.01,-9.12134214851883,-1.1335385205029525,-8.090655165879124,LWC 100,4.0,,,,,,
2,30,2,3.8705564677855193,0.0,2833.991301563504,10969.123361914522,0.5223392077102154,10510.0,2788.0,3.77,4.368443024876512,1.6496162684183524,2.6672803126132516,LWC 100,4.0,,,,,,
2,42,2,3.1949458925551824,0.0,3435.396095802159,10975.904645583218,0.5226621259801533,10170.0,3471.0,2.93,7.924332798261724,-1.0257535061319767,9.042521930211,LWC 100,4.0,,,,,,
7,27,7,4.4753253608694195,0.0,2730.7120021293813,12220.824676360127,0.5819440322076251,12410.0,2680.0,4.63,-1.5243781115219401,1.8922388854246686,-3.3407049488246354,LWC 100,4.0,,,,,,
7,36,7,3.9686174294466814,0.0,3181.765597808456,12627.210407876477,0.6012957337084036,12150.0,3092.0,3.93,3.9276576779956995,2.903156462110479,0.9826317925364147,LWC 100,4.0,,,,,,
12,24,12,5.080094253953348,0.0,2627.4327026952587,13347.605775611299,0.6356002750291094,14060.0,2795.0,5.03,-5.066815251697731,-5.995252139704521,0.9959096213389307,LWC 100,4.0,,,,,,
12,30,12,4.742288966338151,0.0,2928.135099814199,13886.062775796336,0.6612410845617303,14000.0,2869.0,4.88,-0.8138373157404621,2.0611746188288205,-2.8219474111034537,LWC 100,4.0,,,,,,
-7,34,-7,2.76931203026561,0.0,3482.651252249884,9644.548010075194,0.4592641909559616,9540.0,3432.0,2.78,1.0958910909349528,1.4758523382833344,-0.38445934296367223,LWC 120,4.0,,,,,,
-7,52,-7,1.7920537647557921,0.0,4534.131570610061,8125.407551009853,0.38692416909570726,8820.0,4642.0,1.9,-7.875197834355408,-2.3237490174480513,-5.68138080232673,LWC 120,4.0,,,,,,
2,30,2,3.810235504005959,0.0,3256.7614533942365,12409.028117800768,0.5909061008476556,12030.0,3287.0,3.66,3.150690921037147,-0.9199436144132545,4.104795191419641,LWC 120,4.0,,,,,,
2,42,2,3.1587299936661566,0.0,3957.748332301024,12501.458364621456,0.5953075411724503,11620.0,3979.0,2.92,7.585700211888602,-0.5340956948724718,8.1756847145944,LWC 120,4.0,,,,,,
7,27,7,4.430753531754135,0.0,3085.8327859526935,13672.564514762598,0.6510745007029809,13950.0,2981.0,4.68,-1.9887848404114838,3.5166986230356745,-5.325779236022743,LWC 120,4.0,,,,,,
7,36,7,3.94212439899934,0.0,3611.5729451327743,14237.269825773814,0.6779652297987531,13650.0,3396.0,4.02,4.302343045961998,6.347848796607014,-1.937204004991533,LWC 120,4.0,,,,,,
12,24,12,5.051271559502311,0.0,2914.904118511163,14723.97227251159,0.7011415367862662,15560.0,3156.0,4.93,-5.372928839899805,-7.6392864857045994,2.459869361101652,LWC 120,4.0,,,,,,
12,30,12,4.725518804332296,0.0,3265.3975579645444,15430.697563782212,0.7347951220848673,15500.0,3236.0,4.79,-0.44711249172766365,0.9084535835767626,-1.3461627488038475,LWC 120,4.0,,,,,,
-7,34,-7,2.88352087408839,0.0,1664.3351717052392,4799.145209091542,0.22853072424245438,4740.0,1629.0,2.91,1.247789221340545,2.169132701365206,-0.9099355983371193,LWC 60,4.0,,,,,,
-7,52,-7,1.9205337956263973,0.0,2151.7518911698435,4132.512226794698,0.19678629651403323,4420.0,2188.0,2.02,-6.504248262563395,-1.6566777344678485,-4.924069523445684,LWC 60,4.0,,,,,,
2,30,2,3.940982032614613,0.0,1600.0654668160435,6305.829255729141,0.30027758360614953,6230.0,1644.0,3.79,1.2171630133088307,-2.6724168603379894,3.983694791942294,LWC 60,4.0,,,,,,
2,42,2,3.2989906469732664,0.0,1925.0099464591544,6350.589808699258,0.30240903850948847,6020.0,1961.0,3.07,5.491525061449476,-1.8352908485897768,7.458978728770904,LWC 60,4.0,,,,,,
7,27,7,4.570071006791181,0.0,1543.298858937822,7052.985370045653,0.33585644619265015,7110.0,1487.0,4.78,-0.8018935295969976,3.786069868044506,-4.391819941607089,LWC 60,4.0,,,,,,
7,36,7,4.088577467560185,0.0,1787.0072186703728,7306.317448623083,0.3479198785058611,6990.0,1680.0,4.16,4.525285388026945,6.369477301807902,-1.716887799034017,LWC 60,4.0,,,,,,
12,24,12,5.199159980968034,0.0,1486.532251060471,7728.718990131927,0.3680342376253299,8090.0,1589.0,5.09,-4.465772680693114,-6.448568215200057,2.144596875599891,LWC 60,4.0,,,,,,
12,30,12,4.878164288147218,0.0,1649.00449088184,8044.114818414177,0.3830530865911513,8080.0,1629.0,4.96,-0.44412353447801367,1.2280227674548838,-1.6499135454189906,LWC 60,4.0,,,,,,
-7,34,-7,2.9548931123956166,0.0,2181.019564180717,6444.679688197691,0.3068895089617948,6320.0,2121.0,2.98,1.9727798765457383,2.8297767176198585,-0.8425130068585029,LWC 80,4.0,,,,,,
-7,52,-7,1.9628641717081816,0.0,2832.5772427265406,5559.964383343876,0.26476020873066075,5940.0,2870.0,2.07,-6.39790600431186,-1.303928824859213,-5.175643878831804,LWC 80,4.0,,,,,,
2,30,2,3.975291735194477,0.0,2029.3984777708113,8067.450996098559,0.38416433314755044,8160.0,2142.0,3.81,-1.134178969380406,-5.256840440204891,4.338365753135887,LWC 80,4.0,,,,,,
2,42,2,3.313939108069521,0.0,2463.7702634680813,8164.784629405622,0.3887992680669344,7850.0,2557.0,3.07,4.009995279052503,-3.646059309030847,7.945899285652147,LWC 80,4.0,,,,,,
7,27,7,4.585045307026018,0.0,1917.010814025714,8789.581436366727,0.4185514969698441,8610.0,1786.0,4.82,2.085730968254662,7.335431916333368,-4.874578692406272,LWC 80,4.0,,,,,,
