Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_h_ref [W],P_th_h_ref [W],COP_ref,p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p4_P_th [1/°C],p1_P_el_h [1/°C],p2_P_el_h [1/°C],p3_P_el_h [-],p4_P_el_h [1/°C],p1_COP [-],p2_COP [-],p3_COP [-],p4_COP [-]
Airwell Residential S.A.S.,WELLEA MONOBLOC 12 KW 1PH,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.8,,68.0,9,average,5507,11290,2.0501180315961505,90.54650844969038,0.0048500519411369,0.5055496687625624,-90.582632258496,-157.45365510838695,0.0164965164299082,-0.15973664120457,157.41336127640236,30.69463438211765,-0.0737765165844471,6.287702822374675,-30.604030088443658
Airwell Residential S.A.S.,WELLEA MONOBLOC 12 KW 3PH,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.8,,68.0,9,average,5507,11290,2.0501180315961505,-213.68189205298745,0.0048501221495351,0.5055471380504285,213.6457682540168,99.04579078705564,0.0164965017099361,-0.15973656099145,-99.08608471608112,146.190063399387,-0.0737764512586421,6.2877003258039625,-146.09945909778835
Airwell Residential S.A.S.,WELLEA MONOBLOC 14 KW 3PH,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.8,,71.0,9,average,5941,12180,2.0501599057397746,141.66787360814266,0.000493987515613,0.6538072643941071,-141.71417786188,184.3352168569085,0.0129694646540945,-0.0156437455772523,-184.38200340831628,-143.64434879313882,-0.0488874506720032,5.40839122146154,143.76281024039716
Airwell Residential S.A.S.,WELLEA MONOBLOC 7KW,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.0,,64.0,9,average,2959,5830,1.970260223048327,-213.68500320029116,0.0004324026903924,0.6941688418813226,213.6429845750246,212.7686551803885,0.0148958647260453,-0.1129878692527433,-212.81350783740373,-71.4851250417814,-0.0883761048801805,6.897621433704378,71.57449881041009
Airwell Residential S.A.S.,WELLEA MONOBLOC 9KW,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.0,,67.0,9,average,3519,6580,1.8698493890309744,114.99972733442848,-0.0070172530495748,1.02401752634555,-115.05024050875883,-99.99101525734883,0.0110790419801703,0.0491252691287998,99.94087172531344,64.0301191722882,-0.1073367034459871,7.684959099353268,-63.90662200515777
Airwell Residential S.A.S.,WELLEA MONOBLOC 5KW,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.0,,61.0,9,average,2959,5830,1.970260223048327,35.06735575895842,0.0004328250455297,0.6941518551156285,-35.10937475198108,212.76865519078865,0.0148958914702404,-0.1129888736447169,-212.813507827004,-18.31485160903778,-0.088375971064647,6.89761503628438,18.40422559960722
ait-deutschland,LWAV+ 82R1/3,2019-03-27,Outdoor Air/Water,Regulated,1.0,R410A,3.0,48.0,50.0,31,average,2182,5040,2.30980751604033,250.5061453224,-0.0076954607197901,1.14487771721984,-250.53587568964656,184.33466284668265,0.0089896510133187,0.1918722594060352,-184.38251341295637,-142.52775297126374,-0.0885400235482394,7.378343924442514,142.68245807071247
ait-deutschland,LWAV+ 122R3,2019-03-27,Outdoor Air/Water,Regulated,1.0,R410A,3.6,47.0,51.0,20,average,3807,8300,2.1801943787759392,-78.06379393018649,-0.0054973741340826,1.020083517486514,78.0460409364429,341.86636015277145,0.0075400811477501,0.1921804805804615,-341.9250696852728,39.61589490379352,-0.0750423592162123,6.584055483012453,-39.45110192683126
ait-deutschland,LWAV 122R3,2019-03-27,Outdoor Air/Water,Regulated,1.0,R410A,3.6,47.0,58.0,20,average,3807,8300,2.1801943787759392,106.14693034685644,-0.0054977464238966,1.020097247345899,-106.16468353160695,-405.2572335439274,0.0075400502178302,0.1921818700085251,405.1985239318199,-116.41399942696223,-0.075042406343969,6.584057238411492,116.57879243026322
ait-deutschland,LW 310A,2019-10-08,Outdoor Air/Water,Regulated,1.0,R404A,10.0,68.0,64.0,10,average,11704,23760,2.030075187969925,-213.6704270959712,-0.001628255112126,1.1078997840028666,213.65725838155836,-156.25672698203633,0.0138743050020423,0.2890506631496622,156.25952937624254,270.8460830854793,-0.0574657585726126,5.491019063104497,-270.7530498027195
ait-deutschland,LWAV 82R1/3,2019-03-27,Outdoor Air/Water,Regulated,1.0,R410A,3.0,48.0,50.0,31,average,2182,5040,2.30980751604033,-91.52345825086564,-0.0076947313550208,1.1448502551187243,91.4937285301967,-34.9122289003735,0.0089896303006858,0.1918726596215769,34.86437809656168,-69.23171376309374,-0.0885400940092631,7.378346525836042,69.38641925252422
ait-deutschland,LWC 60,2019-09-06,Outdoor Air/Water,On-Off,4.0,R407c,2.95,55.0,,10,average,2188,4420,2.020109689213894,195.05103341007936,-0.0037141931552692,1.4549642564455876,-195.01267623956764,-142.59485506205596,0.0123759279194448,0.3555406230354045,142.59709142268255,-249.15353458812217,-0.053499156574859,5.358519297083081,249.2472529366505
ait-deutschland,WWC 130H/X,2019-09-06,Water/Water,Regulated,3.0,R407c,3.5,53.0,,10,average,3273,11880,3.629697525206233,0.0042225229353155,-0.004222526188185,1.1844718912068652,0.0002095324475873,-0.015178578843354,0.0151785784226573,0.3605081070890475,0.0008234514810729,0.104404664092078,-0.1044046723686247,8.00853283654554,0.0028803255267955
ait-deutschland,LWC 80,2019-09-06,Outdoor Air/Water,Regulated,1.0,R407c,3.2,55.0,55.0,10,average,2870,5940,2.0696864111498257,133.3034904339936,-0.0032492522432197,1.3813731467812655,-133.2736394911289,-3.2885722203108063,0.0137452004047742,0.313737162027213,3.293610546465473,-104.7983490151576,-0.0551127354139102,5.450907860303674,104.88723259896452
ait-deutschland,WWC 100H/X,2019-09-06,Water/Water,On-Off,6.0,R407c,2.95,53.0,,10,average,2866,10090,3.520586182833217,0.0044119603850999,-0.0044119607409704,1.1932185457797844,0.0002270729228728,-0.015192266694276,0.015192271045634,0.3408614388140322,0.0003018562979545,0.1160417084531897,-0.1160417233463128,8.365439522157956,0.0037364687959941
ait-deutschland,LWC 120,2019-09-06,Outdoor Air/Water,On-Off,4.0,R404A,4.5,55.0,,10,average,4642,8820,1.900043084877208,84.93479870287352,-0.0041571433667418,1.4485686085926817,-84.90020950503823,292.7170691808419,0.0125839196734296,0.3236977482935513,-292.71688338449127,-115.57452936007869,-0.0542923212413572,5.255950135448141,115.66605749519472
