Manufacturer,Model,Date,Type,Refrigerant,Mass of Refrigerant [kg],Pdesignc,T_outside [°C],T_out [°C],Pdc [kW],EER
DAIKIN Europe N.V.,EPRA14DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
