Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_ref [W],P_th_ref [W],COP_ref,p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p4_P_th [1/°C],p1_P_el [1/°C],p2_P_el [1/°C],p3_P_el [-],p4_P_el [1/°C],p1_COP [-],p2_COP [-],p3_COP [-],p4_COP [-]
Airwell Residential,AW-YHPS08-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,Regulated,1.0,R32,1.65,39.0,63.0,15.0,average,3300.0,6700.0,2.03,-213.6879559729216,-0.0041027757453092,0.8934669912490122,213.64019174316576,163.4520859821935,0.0130885785354211,-0.0341582680577829,-163.4993133829393,186.17839188662663,-0.131854761424758,8.888876626306988,-186.0641402234412
Airwell Residential,AW-YHPS10-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,Regulated,1.0,R32,1.65,39.0,65.0,15.0,average,3342.0,7520.0,2.25,-4.793500133797112,-0.00595453584715,0.9759852994912436,4.7432470207025474,298.0635850572628,0.0100546374065583,0.1169227930722078,-298.11324843776123,177.30989415000113,-0.1370788791589846,9.308662028467465,-177.162487266408
ait-deutschland,alpha innotec L12 Split-HT 12,2020-04-29,Outdoor Air/Water,Regulated,1.0,R410a,2.9,35.0,58.0,15.0,average,4472.0,8900.0,1.99,212.74507356801053,-0.0080143661657736,1.0880637877099617,-212.78301478271047,304.67100536862307,0.0094835099285687,0.1177035712791953,-304.72390546680083,248.10399654200103,-0.0740927989172005,6.484557207897359,-247.9508157408412
ait-deutschland,alpha innotec L6 Split-HT 6,2020-04-29,Outdoor Air/Water,Regulated,1.0,R410a,1.5,35.0,51.0,12.0,average,2500.0,4700.0,1.88,-71.53490782063234,0.0031694149648744,0.585411696713595,71.5135713204421,477.4017289812067,0.0163179933505887,-0.2110533937714745,-477.45032622972633,212.85716783574043,-0.1021326785273101,7.704324615410112,-212.683884995314
ait-deutschland,alpha innotec L8 Split-HT 12,2020-04-29,Outdoor Air/Water,Regulated,1.0,R410a,2.6,35.0,55.0,15.0,average,3247.0,6300.0,1.94,212.7452522910767,-0.0082867605256206,1.1068993569163994,-212.7828422155661,-355.8839066408497,0.010080310806955,0.0948398071720369,355.8322044866759,217.27689917411533,-0.0770602229817578,6.500478454064836,-217.1437658625765
ait-deutschland,LW 101,2019-10-08,Outdoor Air/Water,On-Off,4.0,R407c,4.8,,,10.0,average,3438.0,6980.0,2.03,-142.57908395907396,-0.0029694629465552,1.3930778501009773,142.61265143137743,-9.05810280008868,0.0128211701731851,0.3240604399144099,9.058905451465703,286.10659297147646,-0.0546263656965414,5.406233655321215,-286.0150793498236
ait-deutschland,LW 121,2019-10-08,Outdoor Air/Water,On-Off,4.0,R407c,5.8,,,10.0,average,4183.0,8700.0,2.08,-27.08389590364109,-0.0036375717455281,1.4048472141629955,27.1164719371369,216.0951198316838,0.0133949378834949,0.2944864845234095,-216.09416553263264,-71.48130135547179,-0.0600846365139992,5.702129494457438,71.57366695433842
ait-deutschland,LW 140 (L),2019-10-08,Outdoor Air/Water,On-Off,4.0,R407c,10.2,58.0,,10.0,average,4815.0,10400.0,2.16,319.38410356931587,-0.0028194114133612,1.3351002366098204,-319.3588181552508,-141.70530430181472,0.0134371991935188,0.2880920153010767,141.70329521653875,-71.4802077991118,-0.0597993588665873,5.755583136332659,71.57485723303019
ait-deutschland,LW 180 (L),2019-10-08,Outdoor Air/Water,Regulated,1.0,R407c,6.8,59.0,,10.0,average,6588.0,12780.0,1.94,-213.6700870531177,-0.0038865249117833,1.2275107190398795,213.65764596925965,-152.4161621555984,0.0153133988903289,0.2207371835978998,152.41767484219284,-195.844868515652,-0.0765599713487589,6.334994178223382,195.9542983079613
ait-deutschland,LW 251 (L),2019-10-08,Outdoor Air/Water,Regulated,1.0,R407c,9.8,63.0,,10.0,average,9266.0,19180.0,2.07,-71.52576594928831,2.6847312490757336e-05,1.0119857016217113,71.51381126502638,345.78098461805394,0.0154535106705993,0.2114845356294557,-345.77769489616657,143.97105812130602,-0.0633369782429899,5.825131758658737,-143.8579647544616
ait-deutschland,LW 300A-LUX 2.0,2020-07-20,Outdoor Air/Water,Regulated,1.0,Other,10.0,,68.0,38.0,average,10231.0,20360.0,1.99,35.08781967619486,0.0012391731642536,0.8832838898758535,-35.07983568963873,-71.54826949061334,0.0134583493723346,0.0703152365110713,71.51841844024831,218.3645878737866,-0.0486664858250391,4.937150010350894,-218.2711562651675
ait-deutschland,LW 310 (L),2019-10-08,Outdoor Air/Water,Regulated,1.0,Other,10.0,68.0,,10.0,average,11704.0,23760.0,2.03,8.42965702891459,-0.0016276467344663,1.1078796101927582,-8.442825440328248,-45.86975607809013,0.0138742822741745,0.2890514735797396,45.87255842694847,208.3711678169369,-0.0574657493849195,5.491018726411836,-208.2781345693504
ait-deutschland,LWC 100,2019-09-06,Outdoor Air/Water,On-Off,4.0,Other,4.1,55.0,,10.0,average,3896.0,7830.0,2.01,79.52196874824554,-0.0040289266606311,1.4408883978199656,-79.48557922595799,299.3728378749909,0.0128639116140445,0.336658791110459,-299.3704212585371,66.78455535545604,-0.0563008812691954,5.385236406150838,-66.69738210560077
ait-deutschland,LWC 120,2019-09-06,Outdoor Air/Water,On-Off,4.0,Other,4.5,55.0,,10.0,average,4642.0,8820.0,1.9,161.69793969997724,-0.0041571969321995,1.4485705828383542,-161.66335055903454,-2.690386174823107,0.0125841390009117,0.3236895810455008,2.690572217575591,232.8015571762176,-0.054292125861649,5.255942619790132,-232.7100288461849
ait-deutschland,LWC 60,2019-09-06,Outdoor Air/Water,On-Off,4.0,R407c,2.95,55.0,,10.0,average,2188.0,4420.0,2.02,8.451074780424644,-0.0037141479317393,1.4549628530594898,-8.412717808751035,194.9968177252587,0.0123760085177882,0.3555376887090443,-194.994581023976,137.30511776755614,-0.0534992821367776,5.358524045611499,-137.2113995420029
ait-deutschland,LWC 80,2019-09-06,Outdoor Air/Water,On-Off,4.0,R407c,3.2,55.0,55.0,10.0,average,2870.0,5940.0,2.07,-320.2565037896238,-0.0032490060427361,1.3813637376089436,320.2863551637881,124.0624170977009,0.012612530759128,0.3292595139349287,-124.06268140378766,-0.4092199657324045,-0.0551127189270797,5.450907136986748,0.4981030487424647
ait-deutschland,LWD 50A-HMD,2017-05-12,Outdoor Air/Water,On-Off,4.0,R290,0.95,,57.0,15.0,average,2010.0,4000.0,1.99,177.24907615953728,-0.0073665938909435,1.6625151130174076,-177.20619428531998,29.531904501078586,0.01383604952856,0.2661432852753306,-29.5307577273721,107.32722714733622,-0.0732653611733765,6.436012487768548,-107.20758875085112
ait-deutschland,LWD 50A/RX-HMD,2020-11-24,Outdoor Air/Water,On-Off,4.0,R290,2.1,,57.0,15.0,average,1803.0,4110.0,2.28,283.8555048769111,-0.0042616531516671,1.466871363282673,-283.81530685097846,-14.748151691372474,0.0110216157995264,0.4463668868032169,14.75250576986416,283.8870153255462,-0.0523989446193885,5.500390286495,-283.7932087696016
ait-deutschland,LWD 50A/SX-HMD,2020-11-24,Outdoor Air/Water,On-Off,4.0,R290,0.95,,58.0,10.0,average,1803.0,4110.0,2.28,-142.57686078785525,-0.0053518700924477,1.5243413446282246,142.6149090908999,-31.523807278382048,0.0094172345332808,0.5166540754762716,31.52433181861514,107.32009086935405,-0.0492207339035934,5.392402677266315,-107.21378802806085
ait-deutschland,LWD 70A-HMD,2017-05-12,Outdoor Air/Water,On-Off,4.0,R290,1.1,,57.0,15.0,average,2624.0,5800.0,2.21,248.3206291657422,-0.0042552451491454,1.4505732896918542,-248.27826160757965,-45.022128881610215,0.012884810358108,0.3249427031419749,45.02398154341113,137.312357635875,-0.0615976453220959,5.973253028147182,-137.1904531028682
ait-deutschland,LWD 70A/RX-HMD,2020-11-24,Outdoor Air/Water,On-Off,4.0,R290,2.2,,57.0,15.0,average,2447.0,5580.0,2.28,8.788924866114586,-0.0047701488567075,1.4762215958486298,-8.751410391746791,35.08501693621945,0.0108809892726456,0.4469147876743216,-35.082636125020265,-102.57256169875907,-0.05349239767436,5.548038594999892,102.6709938573538
ait-deutschland,LWD 70A/SX-HMD,2020-11-24,Outdoor Air/Water,On-Off,4.0,R290,1.1,,58.0,10.0,average,2702.0,5810.0,2.15,-9.731622891164664,-0.0042588335314388,1.451448220091826,9.77336888483323,-142.56015470380646,0.0087344996770265,0.5310290718717319,142.56248245496832,-96.75672533312924,-0.0411292603965272,4.845278331347859,96.85380818701302
