Manufacturer,Model,Type,Modus,Refrigerant,Mass of Refrigerant [kg],Date,SPL indoor [dBA],SPL outdoor [dBA],Prated [kW],PSB [W],Guideline,Climate,P_el_n [W],P_th_max [W],k1,k2,k3,k4,k5,k6,k7,k8,k9,Group
Panasonic Marketing Europe,WH-MXC09H3E5,Outdoor Air/Water,Inverter,R410a,2.3,2020-01-08,,,9.0,12,EN 14825,average,3649,7700,-0.021689675307137935,-0.005348430860392791,1.021129810764617,-0.029944582806951118,0.00805980746707364,0.27150187094169986,0.1397308691217089,-0.09470901377636107,7.284064307490451,1.0
Panasonic Marketing Europe,WH-MXC12H6E5,Outdoor Air/Water,Inverter,R410a,2.3,2020-01-08,,,12.0,12,EN 14825,average,5320,10800,-0.02804348785935894,-0.0022710043309549562,0.8220513144933723,-0.029215974566141948,0.010279647100566704,0.13315056124469113,0.15802536434182274,-0.08750529772390835,6.967405834062984,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5 / WH-UD03JE5,Outdoor Air/Water,Inverter,R32,0.9,2020-01-08,,,3.0,8,EN 14825,average,1193,2600,-0.04862884801273965,-0.01695717810614914,1.483873196212707,-0.047259663261896734,-6.38613613925627e-06,0.5976274947069854,0.18929406561767811,-0.11942123248953115,8.59757563716574,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5 / WH-UD05JE5,Outdoor Air/Water,Inverter,R32,0.9,2020-01-08,,,4.0,8,EN 14825,average,1762,3400,-0.04679018420359404,-0.011693843239151031,1.2422120942936947,-0.04145726757260065,0.004672470563570745,0.36501774555786054,0.1982278986892959,-0.1211408973031738,8.61042069701627,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5B / WH-UD03JE5,Outdoor Air/Water,Inverter,R32,0.9,2020-01-08,,,3.0,8,EN 14825,average,1193,2600,-0.04862884801273965,-0.01695717810614914,1.483873196212707,-0.047259663261896734,-6.38613613925627e-06,0.5976274947069854,0.18929406561767811,-0.11942123248953115,8.59757563716574,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5AN / WH-UD03JE5,Outdoor Air/Water,Inverter,R32,0.9,2020-01-08,,,3.0,8,EN 14825,average,1193,2600,-0.04862884801273965,-0.01695717810614914,1.483873196212707,-0.047259663261896734,-6.38613613925627e-06,0.5976274947069854,0.18929406561767811,-0.11942123248953115,8.59757563716574,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5UK / WH-UD03JE5,Outdoor Air/Water,Inverter,R32,0.9,2020-01-08,,,3.0,8,EN 14825,average,1193,2600,-0.04862884801273965,-0.01695717810614914,1.483873196212707,-0.047259663261896734,-6.38613613925627e-06,0.5976274947069854,0.18929406561767811,-0.11942123248953115,8.59757563716574,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5B / WH-UD05JE5,Outdoor Air/Water,Inverter,R32,0.9,2020-01-08,,,4.0,8,EN 14825,average,1762,3400,-0.04679018420359404,-0.011693843239151031,1.2422120942936947,-0.04145726757260065,0.004672470563570745,0.36501774555786054,0.1982278986892959,-0.1211408973031738,8.61042069701627,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5AN / WH-UD05JE5,Outdoor Air/Water,Inverter,R32,0.9,2020-01-08,,,4.0,8,EN 14825,average,1762,3400,-0.04679018420359404,-0.011693843239151031,1.2422120942936947,-0.04145726757260065,0.004672470563570745,0.36501774555786054,0.1982278986892959,-0.1211408973031738,8.61042069701627,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5UK / WH-UD05JE5,Outdoor Air/Water,Inverter,R32,0.9,2020-01-08,,,4.0,8,EN 14825,average,1762,3400,-0.04679018420359404,-0.011693843239151031,1.2422120942936947,-0.04145726757260065,0.004672470563570745,0.36501774555786054,0.1982278986892959,-0.1211408973031738,8.61042069701627,1.0
Panasonic Marketing Europe,WH-SDC0305J3E5 / WH-UD03JE5,Outdoor Air/Water,Inverter,R32,0.9,2020-01-08,,,3.0,8,EN 14825,average,1193,2600,-0.04862884801273965,-0.01695717810614914,1.483873196212707,-0.047259663261896734,-6.38613613925627e-06,0.5976274947069854,0.18929406561767811,-0.11942123248953115,8.59757563716574,1.0
Panasonic Marketing Europe,WH-SDC0305J3E5 / WH-UD05JE5,Outdoor Air/Water,Inverter,R32,0.9,2020-01-08,,,4.0,8,EN 14825,average,1762,3400,-0.04679018420359404,-0.011693843239151031,1.2422120942936947,-0.04145726757260065,0.004672470563570745,0.36501774555786054,0.1982278986892959,-0.1211408973031738,8.61042069701627,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5C / WH-UD03JE5,Outdoor Air/Water,Inverter,R32,0.9,2020-01-08,,,3.0,8,EN 14825,average,1193,2600,-0.04862884801273965,-0.01695717810614914,1.483873196212707,-0.047259663261896734,-6.38613613925627e-06,0.5976274947069854,0.18929406561767811,-0.11942123248953115,8.59757563716574,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5ANC / WH-UD03JE5,Outdoor Air/Water,Inverter,R32,0.9,2020-01-08,,,3.0,8,EN 14825,average,1193,2600,-0.04862884801273965,-0.01695717810614914,1.483873196212707,-0.047259663261896734,-6.38613613925627e-06,0.5976274947069854,0.18929406561767811,-0.11942123248953115,8.59757563716574,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5C / WH-UD05JE5,Outdoor Air/Water,Inverter,R32,0.9,2020-01-08,,,4.0,8,EN 14825,average,1762,3400,-0.04679018420359404,-0.011693843239151031,1.2422120942936947,-0.04145726757260065,0.004672470563570745,0.36501774555786054,0.1982278986892959,-0.1211408973031738,8.61042069701627,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5ANC / WH-UD05JE5,Outdoor Air/Water,Inverter,R32,0.9,2020-01-08,,,4.0,8,EN 14825,average,1762,3400,-0.04679018420359404,-0.011693843239151031,1.2422120942936947,-0.04145726757260065,0.004672470563570745,0.36501774555786054,0.1982278986892959,-0.1211408973031738,8.61042069701627,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5 / WH-UD07JE5,Outdoor Air/Water,Inverter,R32,1.27,2020-01-08,,,7.0,10,EN 14825,average,3387,6300,-0.01771612887011263,0.005638164483806073,0.4812897850097984,-0.01822326800726066,0.01840187420276779,-0.2406902800876745,0.1481488558392421,-0.12396486005747782,8.604021069038438,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5B / WH-UD07JE5,Outdoor Air/Water,Inverter,R32,1.27,2020-01-08,,,7.0,10,EN 14825,average,3387,6300,-0.01771612887011263,0.005638164483806073,0.4812897850097984,-0.01822326800726066,0.01840187420276779,-0.2406902800876745,0.1481488558392421,-0.12396486005747782,8.604021069038438,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5AN / WH-UD07JE5,Outdoor Air/Water,Inverter,R32,1.27,2020-01-08,,,7.0,10,EN 14825,average,3387,6300,-0.01771612887011263,0.005638164483806073,0.4812897850097984,-0.01822326800726066,0.01840187420276779,-0.2406902800876745,0.1481488558392421,-0.12396486005747782,8.604021069038438,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5UK / WH-UD07JE5,Outdoor Air/Water,Inverter,R32,1.27,2020-01-08,,,7.0,10,EN 14825,average,3387,6300,-0.01771612887011263,0.005638164483806073,0.4812897850097984,-0.01822326800726066,0.01840187420276779,-0.2406902800876745,0.1481488558392421,-0.12396486005747782,8.604021069038438,1.0
Panasonic Marketing Europe,WH-SDC0709J3E5 / WH-UD07JE5,Outdoor Air/Water,Inverter,R32,1.27,2020-01-08,,,7.0,10,EN 14825,average,3387,6300,-0.01771612887011263,0.005638164483806073,0.4812897850097984,-0.01822326800726066,0.01840187420276779,-0.2406902800876745,0.1481488558392421,-0.12396486005747782,8.604021069038438,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5C / WH-UD07JE5,Outdoor Air/Water,Inverter,R32,1.27,2020-01-08,,,7.0,10,EN 14825,average,3387,6300,-0.01771612887011263,0.005638164483806073,0.4812897850097984,-0.01822326800726066,0.01840187420276779,-0.2406902800876745,0.1481488558392421,-0.12396486005747782,8.604021069038438,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5ANC / WH-UD07JE5,Outdoor Air/Water,Inverter,R32,1.27,2020-01-08,,,7.0,10,EN 14825,average,3387,6300,-0.01771612887011263,0.005638164483806073,0.4812897850097984,-0.01822326800726066,0.01840187420276779,-0.2406902800876745,0.1481488558392421,-0.12396486005747782,8.604021069038438,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5 / WH-UD09JE5,Outdoor Air/Water,Inverter,R32,1.27,2020-01-08,,,7.0,10,EN 14825,average,3333,6200,-0.028540627943536064,-0.0019311272835436176,0.8215166336580569,-0.027256609170702325,0.012756991799615286,0.011699521283913,0.15987820161761707,-0.11922470150027167,8.39252540841014,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5B / WH-UD09JE5,Outdoor Air/Water,Inverter,R32,1.27,2020-01-08,,,7.0,10,EN 14825,average,3333,6200,-0.028540627943536064,-0.0019311272835436176,0.8215166336580569,-0.027256609170702325,0.012756991799615286,0.011699521283913,0.15987820161761707,-0.11922470150027167,8.39252540841014,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5AN / WH-UD09JE5,Outdoor Air/Water,Inverter,R32,1.27,2020-01-08,,,7.0,10,EN 14825,average,3333,6200,-0.028540627943536064,-0.0019311272835436176,0.8215166336580569,-0.027256609170702325,0.012756991799615286,0.011699521283913,0.15987820161761707,-0.11922470150027167,8.39252540841014,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5UK / WH-UD09JE5,Outdoor Air/Water,Inverter,R32,1.27,2020-01-08,,,7.0,10,EN 14825,average,3333,6200,-0.028540627943536064,-0.0019311272835436176,0.8215166336580569,-0.027256609170702325,0.012756991799615286,0.011699521283913,0.15987820161761707,-0.11922470150027167,8.39252540841014,1.0
Panasonic Marketing Europe,WH-SDC0709J3E5 / WH-UD09JE5,Outdoor Air/Water,Inverter,R32,1.27,2020-01-08,,,7.0,10,EN 14825,average,3333,6200,-0.028540627943536064,-0.0019311272835436176,0.8215166336580569,-0.027256609170702325,0.012756991799615286,0.011699521283913,0.15987820161761707,-0.11922470150027167,8.39252540841014,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5 / WH-UD09JE5-1,Outdoor Air/Water,Inverter,R32,1.27,2020-01-08,,,7.0,10,EN 14825,average,3333,6200,-0.028540627943536064,-0.0019311272835436176,0.8215166336580569,-0.027256609170702325,0.012756991799615286,0.011699521283913,0.15987820161761707,-0.11922470150027167,8.39252540841014,1.0
Panasonic Marketing Europe,WH-ADC0309J3E5B / WH-UD09JE5-1,Outdoor Air/Water,Inverter,R32,1.27,2020-01-08,,,7.0,10,EN 14825,average,3333,6200,-0.028540627943536064,-0.0019311272835436176,0.8215166336580569,-0.027256609170702325,0.012756991799615286,0.011699521283913,0.15987820161761707,-0.11922470150027167,8.39252540841014,1.0
