Manufacturer,Model,Date,Type,Refrigerant,Mass of Refrigerant [kg],Pdesignc,Temperatur,T_outside,Pdc,EER
DAIKIN Europe N.V.,EPRA16DW / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DV / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DV / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DV / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DV / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DV / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DV / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DV / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DV / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DW / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DW / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DW / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DW / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DW / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DW / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DW / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DW / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DV / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DV / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DV / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DV / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DV / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DV / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DV / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DV / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DW / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DW / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DW / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DW / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DW / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DW / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DW / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DW / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DV / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DV / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DV / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DV / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DV / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DV / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DV / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DV / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DW / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DW / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DW / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DW / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DW / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DW / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DW / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DW / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA18DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DW / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DW / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DW / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DW / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DV / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DV / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DV / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DV / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DV / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DV / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DV / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DV / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DW / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DW / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DW / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DW / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DW / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DW / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DW / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DW / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DV / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DV / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DV / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DV / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DV / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DV / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DV / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DV / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DW / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DW / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DW / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DW / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DW / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DW / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DW / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DW / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DV / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DV / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DV / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DV / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DV / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DV / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DV / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DV / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DW / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DW / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DW / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DW / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPRA18DW / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,35,8.86,2.68
DAIKIN Europe N.V.,EPRA18DW / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,30,6.61,3.72
DAIKIN Europe N.V.,EPRA18DW / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,25,5.12,4.68
DAIKIN Europe N.V.,EPRA18DW / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,8.80,+7°C/+12°C,20,5.31,5.81
DAIKIN Europe N.V.,EPGA11DV / EAVX16S18D6V(G),2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,35,10.66,3.23
DAIKIN Europe N.V.,EPGA11DV / EAVX16S18D6V(G),2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,30,7.87,4.32
DAIKIN Europe N.V.,EPGA11DV / EAVX16S18D6V(G),2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,25,5.16,6.16
DAIKIN Europe N.V.,EPGA11DV / EAVX16S18D6V(G),2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,20,7.86,6.65
DAIKIN Europe N.V.,EPGA11DV / EAVX16S18D9W(G),2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,35,10.66,3.23
DAIKIN Europe N.V.,EPGA11DV / EAVX16S18D9W(G),2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,30,7.87,4.32
DAIKIN Europe N.V.,EPGA11DV / EAVX16S18D9W(G),2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,25,5.16,6.16
DAIKIN Europe N.V.,EPGA11DV / EAVX16S18D9W(G),2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,20,7.86,6.65
DAIKIN Europe N.V.,EPGA11DV / EABX16D6V,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,35,10.66,3.23
DAIKIN Europe N.V.,EPGA11DV / EABX16D6V,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,30,7.87,4.32
DAIKIN Europe N.V.,EPGA11DV / EABX16D6V,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,25,5.16,6.16
DAIKIN Europe N.V.,EPGA11DV / EABX16D6V,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,20,7.86,6.65
DAIKIN Europe N.V.,EPGA11DV / EABX16D9W,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,35,10.66,3.23
DAIKIN Europe N.V.,EPGA11DV / EABX16D9W,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,30,7.87,4.32
DAIKIN Europe N.V.,EPGA11DV / EABX16D9W,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,25,5.16,6.16
DAIKIN Europe N.V.,EPGA11DV / EABX16D9W,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,20,7.86,6.65
DAIKIN Europe N.V.,EPGA11DV / EABH16D6V + cooling kit,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,35,10.66,3.23
DAIKIN Europe N.V.,EPGA11DV / EABH16D6V + cooling kit,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,30,7.87,4.32
DAIKIN Europe N.V.,EPGA11DV / EABH16D6V + cooling kit,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,25,5.16,6.16
DAIKIN Europe N.V.,EPGA11DV / EABH16D6V + cooling kit,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,20,7.86,6.65
DAIKIN Europe N.V.,EPGA11DV / EABH16D9W + cooling kit,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,35,10.66,3.23
DAIKIN Europe N.V.,EPGA11DV / EABH16D9W + cooling kit,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,30,7.87,4.32
DAIKIN Europe N.V.,EPGA11DV / EABH16D9W + cooling kit,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,25,5.16,6.16
DAIKIN Europe N.V.,EPGA11DV / EABH16D9W + cooling kit,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,20,7.86,6.65
DAIKIN Europe N.V.,EPGA11DV / EAVH16S18D6V(G) + cooling,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,35,10.66,3.23
DAIKIN Europe N.V.,EPGA11DV / EAVH16S18D6V(G) + cooling,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,30,7.87,4.32
DAIKIN Europe N.V.,EPGA11DV / EAVH16S18D6V(G) + cooling,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,25,5.16,6.16
DAIKIN Europe N.V.,EPGA11DV / EAVH16S18D6V(G) + cooling,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,20,7.86,6.65
DAIKIN Europe N.V.,EPGA11DV / EAVH16S18D9W(G) +,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,35,10.66,3.23
DAIKIN Europe N.V.,EPGA11DV / EAVH16S18D9W(G) +,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,30,7.87,4.32
DAIKIN Europe N.V.,EPGA11DV / EAVH16S18D9W(G) +,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,25,5.16,6.16
DAIKIN Europe N.V.,EPGA11DV / EAVH16S18D9W(G) +,2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,20,7.86,6.65
DAIKIN Europe N.V.,EPGA11DV / EAVX16S23D6V(G),2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,35,10.66,3.23
DAIKIN Europe N.V.,EPGA11DV / EAVX16S23D6V(G),2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,30,7.87,4.32
DAIKIN Europe N.V.,EPGA11DV / EAVX16S23D6V(G),2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,25,5.16,6.16
DAIKIN Europe N.V.,EPGA11DV / EAVX16S23D6V(G),2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,20,7.86,6.65
DAIKIN Europe N.V.,EPGA11DV / EAVX16S23D9W(G),2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,35,10.66,3.23
DAIKIN Europe N.V.,EPGA11DV / EAVX16S23D9W(G),2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,30,7.87,4.32
DAIKIN Europe N.V.,EPGA11DV / EAVX16S23D9W(G),2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,25,5.16,6.16
DAIKIN Europe N.V.,EPGA11DV / EAVX16S23D9W(G),2019-03-06,Outdoor Air/Water,R32,3.5,10.7,+7°C/+12°C,20,7.86,6.65
