Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_ref [W],P_th_ref [W],COP_ref,p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p1_P_el [1/°C],p2_P_el [1/°C],p3_P_el [-],p1_COP [-],p2_COP [-],p3_COP [-]
Groupe Atlantic,Alféa Extensa A.I. 6 R32,2019-10-04,Outdoor Air/Water,Regulated,1.0,R32,0.97,40.0,57.0,10.0,average,2386.0,4700.0,1.97,-0.03426731676283492,-0.004079597642912803,0.9037887989054678,-0.032051636404771384,0.009836501502237872,0.15413271475233747,0.144942365016256,-0.09825854555388984,7.410339224488293
Groupe Atlantic,Alféa Extensa A.I. 8 R32,2020-01-27,Outdoor Air/Water,Regulated,1.0,R32,1.02,40.0,60.0,10.0,average,2880.0,5500.0,1.91,-0.036154353071625095,-0.0035905571205662365,0.8726929094896351,-0.03311986083882257,0.009673759190474505,0.14740313795732446,0.17579086046585246,-0.09568145045275826,7.351281847683077
Groupe Atlantic,Alféa Extensa +10,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,1.8,46.0,69.0,8.0,average,3941.0,6700.0,1.7,-0.03192126273113049,-0.0061753447658112704,1.0236287615553628,-0.033181057708919943,0.008537297498188991,0.21663136784637171,0.1586944941208201,-0.08634802207791105,6.5752825295053325
Groupe Atlantic,Alféa Extensa +13,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,2.5,46.0,69.0,12.0,average,4316.0,8200.0,1.9,-0.02294233984088783,-0.011449108578737792,1.3244710529347792,-0.03023347659196308,0.005944314803096889,0.3914025700703761,0.11443938125781244,-0.08856978453001381,6.6065485082774345
Groupe Atlantic,Alféa Extensa +5,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,1.1,46.0,63.0,10.0,average,2000.0,3800.0,1.9,-0.02956178866104537,-0.00449306188666978,0.9355468416153034,-0.02691965459822289,0.012062311088586098,0.07057684878434561,0.14183896298764276,-0.09959411392510074,7.252111297427626
Groupe Atlantic,Alféa Extensa +6,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,1.1,46.0,63.0,10.0,average,2222.0,4000.0,1.8,-0.03768298958258491,-0.009455800598046186,1.1538086091839133,-0.03261722098697049,0.00909819503256558,0.1896861468066712,0.15066925926545646,-0.11338254000809128,7.832682405855628
Groupe Atlantic,Alféa Extensa +8,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,1.4,46.0,69.0,9.0,average,2944.0,5300.0,1.8,-0.039774269687944265,-0.006122331197127325,0.9770235691664996,-0.03784898389859154,0.006700337909315639,0.2806714448601715,0.1767186314217816,-0.08905840043199187,6.780367304873487
Groupe Atlantic,ATLANTIC GEOLIA 10,2020-10-16,Water/Water,On-Off,6.0,R410a,1.45,56.0,,4.0,average,3316.0,12400.0,3.74,-0.001460266174051018,-0.004715680585156993,1.23273664527232,0.0010135782106116813,0.014329031633276637,0.2389643901342874,-0.013023315742534984,-0.11483012743618028,9.556617235717553
Groupe Atlantic,ATLANTIC GEOLIA 13,2020-10-16,Water/Water,On-Off,6.0,R410a,1.7,55.0,,3.0,average,4052.0,13900.0,3.43,-0.003376809959308891,-0.009406434252299306,1.4601650122920764,-0.0016446414605097465,0.01045522089869631,0.41779805636545975,-0.00198613881562346,-0.09739830383999283,8.458768180354479
Groupe Atlantic,ATLANTIC GEOLIA 17,2020-10-16,Water/Water,On-Off,6.0,R410a,2.3,55.0,,3.0,average,5372.0,20200.0,3.76,-0.0011965637121298847,-0.004968894673021868,1.2424442224118688,-0.0001946214369034285,0.011264248758415195,0.3817386329561023,-0.002961105318054467,-0.08910007675202485,8.390679006962134
Groupe Atlantic,ATLANTIC GEOLIA 5,2020-10-16,Water/Water,On-Off,6.0,R410a,0.9,56.0,,4.0,average,2061.0,6800.0,3.3,-0.002994075016407641,-0.006930053086258607,1.3222292491094083,0.003997086689348143,0.016067659304259276,0.17749809065520492,-0.038382542421510873,-0.12314546509834078,9.267464261230648
Groupe Atlantic,ATLANTIC GEOLIA 7,2020-10-16,Water/Water,On-Off,6.0,R410a,0.95,57.0,,4.0,average,2576.0,8500.0,3.3,-0.0024944063250481874,-0.006637837534083415,1.3207296167835618,0.0018959770926189321,0.012915730433199496,0.3357794800484087,-0.01998479409278098,-0.0944917316944588,7.955600056321888
Groupe Atlantic,AUREA 10,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,1.72,0.0,65.0,5.0,average,3112.0,6100.0,1.96,-0.03672235772623289,-0.005152196715321289,0.9539956698686872,-0.03609831569987458,0.0071574679211328235,0.2839051165137966,0.1423178370638615,-0.07881379202329374,6.4311116710772005
Groupe Atlantic,AUREA 16,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,2.99,0.0,66.0,5.0,average,5236.0,9110.0,1.74,-0.03224106085481262,-0.009518033957545744,1.2347571950464724,-0.035170853616067144,0.005322296955210521,0.3692884149937659,0.18728099392469447,-0.05010946664814557,5.2970294372935545
Groupe Atlantic,AUREA 5 R32,2020-05-27,Outdoor Air/Water,Regulated,1.0,R32,0.8,,63.0,17.0,average,2165.0,4200.0,1.94,-0.036767442845088295,-0.0002461857365068185,0.7085772560787919,-0.02894030834582778,0.012945731685163532,-0.004168694418710039,0.12416625776130545,-0.11951280523018284,8.316170777622922
Groupe Atlantic,AUREA 5,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,1.05,0.0,60.0,5.0,average,2137.0,3890.0,1.82,-0.038207944522478034,-0.0015313956168359324,0.7875906098559708,-0.030313751860319614,0.012043762098436248,0.04814200644858183,0.1254464543870234,-0.10486907175424637,7.488311751197624
