Model,k1,k2,k3,k4,k5,k6,k7,k8,k9,Group
LW 140A,0.023906323110282825,-0.0026655685332471813,1.2622749692625594,-0.0027531411261101702,0.01841179390038188,0.39476558146159413,0.09464847696426862,-0.05979939657479574,5.755584587883683,4.0
LW 180 (L),-0.011133533038524445,-0.0034783365703907163,1.0985737006481857,-0.026700519499470513,0.01911584581158351,0.22067651064138136,0.10942983113886653,-0.07656001923112153,6.334996252083765,7.0
LW 180A,-0.011133533038524445,-0.0034783365703907163,1.0985737006481857,-0.026700519499470513,0.01911584581158351,0.22067651064138136,0.10942983113886653,-0.07656001923112153,6.334996252083765,7.0
LW 251 (L),-0.011843107496205235,2.6906957098403613e-05,1.0025610627149688,-0.02788618588166955,0.01985204133991525,0.2254613864407013,0.11309349441599663,-0.06333684180206715,5.82512670618589,7.0
LW 251A,-0.011843107496205235,2.6906957098403613e-05,1.0025610627149688,-0.02788618588166955,0.01985204133991525,0.2254613864407013,0.11309349441599663,-0.06333684180206715,5.82512670618589,7.0
LW 300A-LUX 2.0,0.008374586712287052,0.0012998052008026584,0.9265169011013316,-0.01572099962708293,0.0168751653515196,0.2717485634564385,0.09343156804413356,-0.04866655320291715,4.937152278195809,1.0
LW 300(L),0.008374586712287052,0.0012998052008026584,0.9265169011013316,-0.01572099962708293,0.0168751653515196,0.2717485634564385,0.09343156804413356,-0.04866655320291715,4.937152278195809,1.0
LW 310 (L),-0.012505252298027729,-0.0015457047964847319,1.0520878367411954,-0.026853510656619776,0.017224684448641354,0.3171023442995849,0.09303326085746061,-0.05746574691713426,5.4910186372753635,7.0
LW 310A,-0.012505252298027729,-0.0015457047964847319,1.0520878367411954,-0.026853510656619776,0.017224684448641354,0.3171023442995849,0.09303326085746061,-0.05746574691713426,5.4910186372753635,7.0
LWC 100,0.03379945846230872,-0.0037422201631231136,1.3383359684903369,0.0031935936648547786,0.017000453894860806,0.4449253742489181,0.08717323378809502,-0.056300892413680845,5.385236858461947,4.0
LWC 120,0.03197870416764747,-0.003843379451665491,1.3392420667713947,0.00025165936184375065,0.01702087197839715,0.4378102260173107,0.09152818070948993,-0.054292298285422175,5.255949121078172,4.0
LWC 60,0.035767487019648894,-0.0034633980296709267,1.3567373010133963,0.0030040340775299556,0.016622857178803137,0.47754416447865733,0.09371824233279737,-0.0534992835080923,5.3585240223120945,4.0
LWC 80,0.028055946798751993,-0.003054035223379168,1.2983214571346084,-0.00035772946305618827,0.017066370972969376,0.44553614452577145,0.08888357500737849,-0.05511273441987086,5.450907733046563,4.0
LWD 50A-HMD,0.03649524665843475,-0.006269440732595077,1.4149063214126774,0.0016040298394506248,0.019353135571254,0.3722673021963776,0.11963843842346401,-0.07326532507882583,6.4360110151086625,4.0
LWD 50A-HTD,0.03649524665843475,-0.006269440732595077,1.4149063214126774,0.0016040298394506248,0.019353135571254,0.3722673021963776,0.11963843842346401,-0.07326532507882583,6.4360110151086625,4.0
LWD 50A/RX-HMD,0.03712603332671317,-0.003936431749891426,1.3548119269643302,0.005520676333043393,0.01397466286360991,0.5659631538740016,0.09380644680400564,-0.05239897362738658,5.500392154627382,4.0
LWD 50A/SX-HMD,0.03421850561577986,-0.004813240739451131,1.3709091991441502,0.0006292435629653457,0.0112969161235313,0.6197788637007984,0.10630287368466054,-0.04922071691611738,5.392402085601996,4.0
LWD 50A/SX-HTD S,0.03421850561577986,-0.004813240739451131,1.3709091991441502,0.0006292435629653457,0.0112969161235313,0.6197788637007984,0.10630287368466054,-0.04922071691611738,5.392402085601996,4.0
LWD 70A-HMD,0.0390047742556442,-0.00391790530902891,1.335462872404706,0.0025307344175575907,0.017600100826671204,0.4438562983450817,0.12190452473876652,-0.06159763908891606,5.9732530070958125,4.0
LWD 70A-HTD,0.0390047742556442,-0.00391790530902891,1.335462872404706,0.0025307344175575907,0.017600100826671204,0.4438562983450817,0.12190452473876652,-0.06159763908891606,5.9732530070958125,4.0
LWD 70A/RX-HMD,0.033872289209483694,-0.004307031306945333,1.3328992471954837,0.002998388466569614,0.013703354787589451,0.5628429379172974,0.09843208811063152,-0.05349248103610466,5.548041726996868,4.0
LWD 70A/RX-HTD,0.033872289209483694,-0.004307031306945333,1.3328992471954837,0.002998388466569614,0.013703354787589451,0.5628429379172974,0.09843208811063152,-0.05349248103610466,5.548041726996868,4.0
LWD 70A/SX-HMD,0.03924665427648901,-0.0040038351018512495,1.3645484769334943,0.002789216173292399,0.010465945784864122,0.6362912561518446,0.09708291448218981,-0.041129205193754285,4.845276227633311,4.0
LWD 70A/SX-HTD S,0.03924665427648901,-0.0040038351018512495,1.3645484769334943,0.002789216173292399,0.010465945784864122,0.6362912561518446,0.09708291448218981,-0.041129205193754285,4.845276227633311,4.0
LWD 90A-HMD,0.030264453531661475,-0.0018576329407800813,1.2429305449785046,0.002099042021808371,0.015469457075702525,0.508176601508241,0.09173928847026883,-0.050889050880054375,5.42947361435594,4.0
LWD 90A-HTD,0.030264453531661475,-0.0018576329407800813,1.2429305449785046,0.002099042021808371,0.015469457075702525,0.508176601508241,0.09173928847026883,-0.050889050880054375,5.42947361435594,4.0
LWDV 91-1/3-HDV 12-3,-0.03342718233946138,-0.003151200734297983,0.8717805755175213,-0.0454051651955162,0.009357551023074898,0.32967804398660333,0.19942534734631756,-0.06826972208490116,6.95253298024432,1.0
LWDV 91-1/3-HDV 9-1/3,-0.03342718233946138,-0.003151200734297983,0.8717805755175213,-0.0454051651955162,0.009357551023074898,0.32967804398660333,0.19942534734631756,-0.06826972208490116,6.95253298024432,1.0
LWDV 91-1/3-HSDV 12M3,-0.03342718233946138,-0.003151200734297983,0.8717805755175213,-0.0454051651955162,0.009357551023074898,0.32967804398660333,0.19942534734631756,-0.06826972208490116,6.95253298024432,1.0
LWDV91-1/3-HSDV 9M-1/3,-0.03342718233946138,-0.003151200734297983,0.8717805755175213,-0.0454051651955162,0.009357551023074898,0.32967804398660333,0.19942534734631756,-0.06826972208490116,6.95253298024432,1.0
LWCV 122R3,-0.017417304512905747,-0.005393514032072866,1.000795234761155,-0.0366133991602585,0.006896109130826474,0.4202111538552592,0.16479301768525084,-0.07504238566858794,6.584056445459323,1.0
LWV 122R3,-0.017417304512905747,-0.005393514032072866,1.000795234761155,-0.0366133991602585,0.006896109130826474,0.4202111538552592,0.16479301768525084,-0.07504238566858794,6.584056445459323,1.0
LWAV 122R3,-0.017417304512905747,-0.005393514032072866,1.000795234761155,-0.0366133991602585,0.006896109130826474,0.4202111538552592,0.16479301768525084,-0.07504238566858794,6.584056445459323,1.0
LWAV+ 122R3,-0.017417304512905747,-0.005393514032072866,1.000795234761155,-0.0366133991602585,0.006896109130826474,0.4202111538552592,0.16479301768525084,-0.07504238566858794,6.584056445459323,1.0
LWCV 82R1/3,-0.025482870916208072,-0.006595805870904496,0.9813120314646417,-0.037879651538148346,0.009313228528075576,0.36211781378453434,0.1547054276067676,-0.08854015518452395,7.378348837407827,1.0
LWV 82R1/3,-0.025482870916208072,-0.006595805870904496,0.9813120314646417,-0.037879651538148346,0.009313228528075576,0.36211781378453434,0.1547054276067676,-0.08854015518452395,7.378348837407827,1.0
